[27/Feb/2026 15:53:17] {'temperature': 24.85, 'altitude': 2.74, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.40466, 'acceleration': {'z': 1.075, 'y': -0.035, 'x': -0.225}}
[27/Feb/2026 15:53:18] {'temperature': 24.93, 'altitude': 2.67, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.065, 'y': -0.032, 'x': -0.226}}
[27/Feb/2026 15:53:19] {'temperature': 24.98, 'altitude': 2.2, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.061, 'y': -0.031, 'x': -0.221}}
[27/Feb/2026 15:53:20] {'temperature': 24.98, 'altitude': 2.54, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.057, 'y': -0.033, 'x': -0.22}}
[27/Feb/2026 15:53:21] {'temperature': 25.01, 'altitude': 2.55, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.06, 'y': -0.032, 'x': -0.225}}
[27/Feb/2026 15:53:22] {'temperature': 25.11, 'altitude': 1.99, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40465, 'acceleration': {'z': 1.06, 'y': -0.032, 'x': -0.224}}
[27/Feb/2026 15:53:23] {'temperature': 25.22, 'altitude': 2.09, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40465, 'acceleration': {'z': 1.067, 'y': -0.033, 'x': -0.223}}
[27/Feb/2026 15:53:24] {'temperature': 25.32, 'altitude': 2.84, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40465, 'acceleration': {'z': 1.057, 'y': -0.04, 'x': -0.221}}
[27/Feb/2026 15:53:25] {'temperature': 25.4, 'altitude': 3.27, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40465, 'acceleration': {'z': 1.061, 'y': -0.03, 'x': -0.221}}
[27/Feb/2026 15:53:26] {'temperature': 25.5, 'altitude': 3.29, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.06, 'y': -0.036, 'x': -0.215}}
