[27/Dec/2025 19:37:10] {'temperature': 27.1, 'altitude': 2.82, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.093, 'y': -0.022, 'x': 0.052}}
[27/Dec/2025 19:37:12] {'temperature': 27.13, 'altitude': 2.11, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.098, 'y': -0.021, 'x': 0.061}}
[27/Dec/2025 19:37:13] {'temperature': 27.14, 'altitude': 2.22, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.09, 'y': -0.028, 'x': 0.061}}
[27/Dec/2025 19:37:15] {'temperature': 27.16, 'altitude': 1.91, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.021, 'x': 0.052}}
[27/Dec/2025 19:37:16] {'temperature': 27.18, 'altitude': 2.02, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.094, 'y': -0.021, 'x': 0.056}}
[27/Dec/2025 19:37:21] {'temperature': 27.25, 'altitude': 1.62, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.091, 'y': -0.018, 'x': 0.062}}
[27/Dec/2025 19:37:23] {'temperature': 27.27, 'altitude': 1.69, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.099, 'y': -0.02, 'x': 0.058}}
[27/Dec/2025 19:37:24] {'temperature': 27.29, 'altitude': 2.35, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.09, 'y': -0.023, 'x': 0.058}}
[27/Dec/2025 19:37:26] {'temperature': 27.3, 'altitude': 1.85, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.083, 'y': -0.024, 'x': 0.05900001}}
[27/Dec/2025 19:37:27] {'temperature': 27.32, 'altitude': 2.16, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.102, 'y': -0.018, 'x': 0.057}}
[27/Dec/2025 19:37:29] {'temperature': 27.34, 'altitude': 2.25, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.092, 'y': -0.019, 'x': 0.058}}
[27/Dec/2025 19:37:31] {'temperature': 27.35, 'altitude': 2.91, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.091, 'y': -0.021, 'x': 0.05}}
[27/Dec/2025 19:37:32] {'temperature': 27.37, 'altitude': 3.55, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.096, 'y': -0.024, 'x': 0.052}}
[27/Dec/2025 19:37:34] {'temperature': 27.39, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.088, 'y': -0.018, 'x': 0.05}}
[27/Dec/2025 19:37:35] {'temperature': 27.4, 'altitude': 3.54, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.094, 'y': -0.02, 'x': 0.057}}
[27/Dec/2025 19:37:37] {'temperature': 27.42, 'altitude': 3.43, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.098, 'y': -0.021, 'x': 0.051}}
[27/Dec/2025 19:37:38] {'temperature': 27.44, 'altitude': 2.58, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.082, 'y': -0.017, 'x': 0.056}}
[27/Dec/2025 19:37:40] {'temperature': 27.45, 'altitude': 3.08, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40486, 'acceleration': {'z': 1.091, 'y': -0.019, 'x': 0.052}}
[27/Dec/2025 19:37:42] {'temperature': 27.47, 'altitude': 2.78, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40486, 'acceleration': {'z': 1.092, 'y': -0.021, 'x': 0.057}}
[27/Dec/2025 19:37:43] {'temperature': 27.49, 'altitude': 2.48, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40486, 'acceleration': {'z': 1.094, 'y': -0.021, 'x': 0.057}}
[27/Dec/2025 19:37:45] {'temperature': 27.5, 'altitude': 3.73, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40486, 'acceleration': {'z': 1.093, 'y': -0.029, 'x': 0.057}}
[27/Dec/2025 19:37:51] {'temperature': 27.56, 'altitude': 2.65, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40487, 'acceleration': {'z': 1.093, 'y': -0.022, 'x': 0.05900001}}
[27/Dec/2025 19:37:52] {'temperature': 27.57, 'altitude': 3.34, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40487, 'acceleration': {'z': 1.1, 'y': -0.019, 'x': 0.058}}
[27/Dec/2025 19:37:54] {'temperature': 27.59, 'altitude': 3.82, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40487, 'acceleration': {'z': 1.097, 'y': -0.025, 'x': 0.056}}
[27/Dec/2025 19:37:56] {'temperature': 27.6, 'altitude': 3.72, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40487, 'acceleration': {'z': 1.092, 'y': -0.019, 'x': 0.065}}
[27/Dec/2025 19:37:57] {'temperature': 27.62, 'altitude': 3.6, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40488, 'acceleration': {'z': 1.086, 'y': -0.021, 'x': 0.053}}
[27/Dec/2025 19:38:00] {'temperature': 27.64, 'altitude': 3.67, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40488, 'acceleration': {'z': 1.085, 'y': -0.021, 'x': 0.061}}
[27/Dec/2025 19:38:02] {'temperature': 27.65, 'altitude': 3.44, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40488, 'acceleration': {'z': 1.09, 'y': -0.02, 'x': 0.057}}
[27/Dec/2025 19:38:05] {'temperature': 27.67, 'altitude': 3.32, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40488, 'acceleration': {'z': 1.096, 'y': -0.019, 'x': 0.056}}
[27/Dec/2025 19:38:07] {'temperature': 27.69, 'altitude': 3.06, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40488, 'acceleration': {'z': 1.093, 'y': -0.018, 'x': 0.053}}
[27/Dec/2025 19:38:11] {'temperature': 27.72, 'altitude': 3.04, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40487, 'acceleration': {'z': 1.094, 'y': -0.022, 'x': 0.057}}
[27/Dec/2025 19:38:16] {'temperature': 27.74, 'altitude': 3.14, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40487, 'acceleration': {'z': 1.094, 'y': -0.019, 'x': 0.055}}
[27/Dec/2025 19:38:18] {'temperature': 27.75, 'altitude': 3.24, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40487, 'acceleration': {'z': 1.088, 'y': -0.023, 'x': 0.053}}
[27/Dec/2025 19:38:19] {'temperature': 27.76, 'altitude': 3.37, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40487, 'acceleration': {'z': 1.092, 'y': -0.028, 'x': 0.058}}
[27/Dec/2025 19:38:21] {'temperature': 27.76, 'altitude': 3.19, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40486, 'acceleration': {'z': 1.089, 'y': -0.02, 'x': 0.06}}
[27/Dec/2025 19:38:22] {'temperature': 27.77, 'altitude': 2.97, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40486, 'acceleration': {'z': 1.088, 'y': -0.021, 'x': 0.052}}
