[18/Jan/2026 15:39:00] {'temperature': 23.11, 'altitude': -1.47, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.009, 'x': 0.052}}
[18/Jan/2026 15:39:02] {'temperature': 23.19, 'altitude': -1.53, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.011, 'x': 0.056}}
[18/Jan/2026 15:39:03] {'temperature': 23.28, 'altitude': -1.13, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.004, 'x': 0.052}}
[18/Jan/2026 15:39:05] {'temperature': 23.36, 'altitude': -0.14, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.006, 'x': 0.05900001}}
[18/Jan/2026 15:39:07] {'temperature': 23.45, 'altitude': -0.66, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.099, 'y': 0.012, 'x': 0.049}}
[18/Jan/2026 15:39:09] {'temperature': 23.52, 'altitude': -0.69, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.104, 'y': 0.006, 'x': 0.048}}
[18/Jan/2026 15:39:11] {'temperature': 23.62, 'altitude': -1.05, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.115, 'y': 0.006, 'x': 0.057}}
[18/Jan/2026 18:21:21] {'temperature': 27.57, 'altitude': 0.02, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40514, 'acceleration': {'z': 1.095, 'y': 0.004, 'x': 0.058}}
[18/Jan/2026 18:21:23] {'temperature': 27.61, 'altitude': 0.57, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40513, 'acceleration': {'z': 1.095, 'y': 0.001, 'x': 0.056}}
[18/Jan/2026 18:21:25] {'temperature': 27.63, 'altitude': 0.07, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40513, 'acceleration': {'z': 1.099, 'y': 0.005, 'x': 0.054}}
[18/Jan/2026 18:21:27] {'temperature': 27.67, 'altitude': 0.07, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40512, 'acceleration': {'z': 1.1, 'y': -0.007, 'x': 0.052}}
[18/Jan/2026 18:21:29] {'temperature': 27.72, 'altitude': -0.15, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40512, 'acceleration': {'z': 1.091, 'y': 0.007, 'x': 0.058}}
[18/Jan/2026 18:21:31] {'temperature': 27.77, 'altitude': -0.66, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40512, 'acceleration': {'z': 1.094, 'y': 0.009, 'x': 0.052}}
[18/Jan/2026 18:21:33] {'temperature': 27.8, 'altitude': 0.12, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40511, 'acceleration': {'z': 1.091, 'y': 0.01, 'x': 0.058}}
[18/Jan/2026 18:21:35] {'temperature': 27.82, 'altitude': 0.01, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40511, 'acceleration': {'z': 1.103, 'y': 0.008000001, 'x': 0.055}}
[18/Jan/2026 18:21:37] {'temperature': 27.86, 'altitude': 0.52, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40511, 'acceleration': {'z': 1.095, 'y': 0.002, 'x': 0.049}}
[18/Jan/2026 18:21:39] {'temperature': 27.89, 'altitude': 0.55, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40511, 'acceleration': {'z': 1.095, 'y': 0.001, 'x': 0.057}}
[18/Jan/2026 18:21:41] {'temperature': 27.94, 'altitude': 0.47, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40511, 'acceleration': {'z': 1.09, 'y': 0.007, 'x': 0.052}}
[18/Jan/2026 18:21:43] {'temperature': 27.96, 'altitude': 0.9599999, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40511, 'acceleration': {'z': 1.092, 'y': 0.007, 'x': 0.048}}
[18/Jan/2026 18:21:45] {'temperature': 27.95, 'altitude': 0.66, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40511, 'acceleration': {'z': 1.097, 'y': 0.01, 'x': 0.046}}
[18/Jan/2026 18:21:48] {'temperature': 27.96, 'altitude': 0.93, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40511, 'acceleration': {'z': 1.098, 'y': 0.011, 'x': 0.044}}
[18/Jan/2026 18:21:50] {'temperature': 27.99, 'altitude': 0.8, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.091, 'y': 0.005, 'x': 0.051}}
[18/Jan/2026 18:21:50] {'temperature': 28, 'altitude': 1.09, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.1, 'y': 0.005, 'x': 0.053}}
[18/Jan/2026 18:21:55] {'temperature': 28.01, 'altitude': 0.9, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.092, 'y': 0.004, 'x': 0.052}}
[18/Jan/2026 18:21:57] {'temperature': 28.04, 'altitude': 0.9, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.09, 'y': 0.002, 'x': 0.055}}
[18/Jan/2026 18:21:59] {'temperature': 28.06, 'altitude': 0.45, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.093, 'y': 0.006, 'x': 0.049}}
[18/Jan/2026 18:22:01] {'temperature': 28.06, 'altitude': 0.43, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.096, 'y': 0.009, 'x': 0.056}}
[18/Jan/2026 18:22:03] {'temperature': 28.07, 'altitude': 0.56, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.4051, 'acceleration': {'z': 1.093, 'y': 0.009, 'x': 0.051}}
[18/Jan/2026 18:22:05] {'temperature': 28.09, 'altitude': 1.42, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40509, 'acceleration': {'z': 1.093, 'y': 0.003, 'x': 0.049}}
[18/Jan/2026 18:22:07] {'temperature': 28.09, 'altitude': 1.04, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40509, 'acceleration': {'z': 1.091, 'y': 0.005, 'x': 0.053}}
