[29/Mar/2025 20:34:02] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': 0.1, 'pressure': 100473.3, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.2, 'y_rotation': 0.7, 'z_rotation': 1.1, 'temperature': 26.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:13] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100476.3, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.5, 'y_rotation': 0.7, 'z_rotation': 1.2, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:15] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.1, 'pressure': 100474.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:20] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100475.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.8, 'y_rotation': 0.6, 'z_rotation': 0.9, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:21] {'latitude': 38.836, 'longitude': -77.405, 'altitude': 0.5, 'pressure': 100474.3, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:22] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.1, 'pressure': 100475, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.7, 'z_rotation': 0.9, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:26] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.5, 'pressure': 100477, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.6, 'z_rotation': 1.1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:26] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.5, 'pressure': 100478.7, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.9, 'z_rotation': 1.1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:29] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.4, 'pressure': 100477.5, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.5, 'y_rotation': 0.7, 'z_rotation': 1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:30] {'latitude': 38.836, 'longitude': -77.405, 'altitude': 0, 'pressure': 100476.8, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:32] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.6, 'pressure': 100478.4, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.7, 'z_rotation': 1.5, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:34] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -1, 'pressure': 100479.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.2, 'y_rotation': 0.7, 'z_rotation': 1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:34] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.9, 'pressure': 100476.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 1.1, 'z_rotation': 1.1, 'temperature': 26.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:39] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.9, 'pressure': 100478.7, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.2, 'z_rotation': 1.1, 'temperature': 26.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:41] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -1, 'pressure': 100478.3, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.5, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 26.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:34:44] {'latitude': 38.836, 'longitude': -77.405, 'altitude': -0.9, 'pressure': 100477.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.9, 'z_rotation': 1.2, 'temperature': 26.6, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
