[02/Jan/2026 18:00:55] {'temperature': 29.36, 'altitude': 3.18, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.096, 'y': 0.014, 'x': 0.038}}
[02/Jan/2026 18:00:57] {'temperature': 29.36, 'altitude': 2.85, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.001, 'x': 0.043}}
[02/Jan/2026 18:01:00] {'temperature': 29.36, 'altitude': 3.78, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40496, 'acceleration': {'z': 1.098, 'y': 0.006, 'x': 0.042}}
[02/Jan/2026 18:01:02] {'temperature': 29.4, 'altitude': 3, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40496, 'acceleration': {'z': 1.094, 'y': 0.005, 'x': 0.042}}
[02/Jan/2026 18:01:04] {'temperature': 29.43, 'altitude': 3.08, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40496, 'acceleration': {'z': 1.093, 'y': 0.001, 'x': 0.045}}
[02/Jan/2026 18:01:06] {'temperature': 29.46, 'altitude': 2.72, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.096, 'y': 0.002, 'x': 0.051}}
[02/Jan/2026 18:01:08] {'temperature': 29.48, 'altitude': 2.86, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.083, 'y': 0.006, 'x': 0.043}}
[02/Jan/2026 18:01:10] {'temperature': 29.49, 'altitude': 2.98, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.097, 'y': 0, 'x': 0.044}}
[02/Jan/2026 18:01:12] {'temperature': 29.47, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.078, 'y': 0.01, 'x': 0.045}}
[02/Jan/2026 18:01:14] {'temperature': 29.46, 'altitude': 2.93, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.085, 'y': 0, 'x': 0.044}}
[02/Jan/2026 18:01:16] {'temperature': 29.46, 'altitude': 2.75, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.092, 'y': 0.002, 'x': 0.048}}
[02/Jan/2026 18:01:18] {'temperature': 29.41, 'altitude': 2.95, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.108, 'y': 0.014, 'x': 0.055}}
[02/Jan/2026 18:01:22] {'temperature': 29.35, 'altitude': 2.92, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.112, 'y': -0.009, 'x': 0.038}}
[02/Jan/2026 18:01:24] {'temperature': 29.38, 'altitude': 2.75, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.06, 'y': 0.03, 'x': 0.044}}
[02/Jan/2026 18:01:26] {'temperature': 29.38, 'altitude': 2.91, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.09, 'y': 0.009, 'x': 0.038}}
[02/Jan/2026 18:01:28] {'temperature': 29.42, 'altitude': 2.72, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.086, 'y': 0.001, 'x': 0.042}}
[02/Jan/2026 18:01:30] {'temperature': 29.43, 'altitude': 2.89, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.087, 'y': 0.007, 'x': 0.039}}
[02/Jan/2026 18:01:35] {'temperature': 29.47, 'altitude': 3.43, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.099, 'y': 0.005, 'x': 0.037}}
[02/Jan/2026 18:01:37] {'temperature': 29.49, 'altitude': 3.55, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.094, 'y': 0.014, 'x': 0.034}}
