[23/Nov/2024 12:11:22] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610.7, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:22] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610.7, 'x_rotation': 0, 'y_rotation': 1.1, 'z_rotation': 0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:23] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610.4, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': -0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:23] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99611.1, 'x_rotation': -0.2, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:24] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.6, 'x_rotation': -0.2, 'y_rotation': 0.9, 'z_rotation': -0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:25] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.7, 'x_rotation': -0.2, 'y_rotation': 1, 'z_rotation': -0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:25] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.9, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:26] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.6, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:27] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.4, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:27] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99612.1, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': -0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
