[03/Mar/2026 19:33:46] {'temperature': 23.41, 'altitude': -0.42, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.013, 'x': 0.14}}
[03/Mar/2026 19:33:47] {'temperature': 23.42, 'altitude': 0.16, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': -0.018, 'x': 0.143}}
[03/Mar/2026 19:33:48] {'temperature': 23.43, 'altitude': 0.27, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': -0.01, 'x': 0.139}}
[03/Mar/2026 19:33:49] {'temperature': 23.45, 'altitude': 0.21, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': -0.014, 'x': 0.145}}
[03/Mar/2026 19:33:50] {'temperature': 23.46, 'altitude': 0.33, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': -0.017, 'x': 0.144}}
[03/Mar/2026 19:33:51] {'temperature': 23.48, 'altitude': 0.03, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': -0.013, 'x': 0.148}}
[03/Mar/2026 19:34:02] {'temperature': 23.62, 'altitude': -0.3, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': -0.017, 'x': 0.156}}
[03/Mar/2026 19:34:03] {'temperature': 23.63, 'altitude': 0.02, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': -0.014, 'x': 0.13}}
[03/Mar/2026 19:34:04] {'temperature': 23.64, 'altitude': 0.5, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': -0.015, 'x': 0.139}}
[03/Mar/2026 19:34:05] {'temperature': 23.65, 'altitude': 0.44, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': -0.015, 'x': 0.138}}
[03/Mar/2026 19:34:06] {'temperature': 23.67, 'altitude': 0.2, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.018, 'x': 0.144}}
[03/Mar/2026 19:34:07] {'temperature': 23.68, 'altitude': 0.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.014, 'x': 0.137}}
[03/Mar/2026 19:34:08] {'temperature': 23.69, 'altitude': 0.79, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': -0.015, 'x': 0.141}}
[03/Mar/2026 19:34:09] {'temperature': 23.69, 'altitude': 0.36, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': -0.014, 'x': 0.139}}
[03/Mar/2026 19:34:10] {'temperature': 23.7, 'altitude': 0.49, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': -0.017, 'x': 0.143}}
[03/Mar/2026 19:34:11] {'temperature': 23.71, 'altitude': 0.83, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': -0.013, 'x': 0.142}}
[03/Mar/2026 19:34:12] {'temperature': 23.71, 'altitude': 0.43, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.016, 'x': 0.137}}
[03/Mar/2026 19:34:13] {'temperature': 23.73, 'altitude': 1.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': -0.021, 'x': 0.139}}
[03/Mar/2026 19:34:14] {'temperature': 23.74, 'altitude': 1.35, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.017, 'x': 0.146}}
[03/Mar/2026 19:34:15] {'temperature': 23.75, 'altitude': 1.47, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.099, 'y': -0.021, 'x': 0.139}}
[03/Mar/2026 19:34:16] {'temperature': 23.76, 'altitude': 1.25, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': -0.016, 'x': 0.141}}
[03/Mar/2026 19:34:17] {'temperature': 23.77, 'altitude': 1.2, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': -0.013, 'x': 0.143}}
[03/Mar/2026 19:34:18] {'temperature': 23.78, 'altitude': 1.14, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': -0.014, 'x': 0.142}}
[03/Mar/2026 19:34:19] {'temperature': 23.79, 'altitude': 0.88, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': -0.018, 'x': 0.142}}
[03/Mar/2026 19:34:20] {'temperature': 23.8, 'altitude': 0.63, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': -0.013, 'x': 0.14}}
[03/Mar/2026 19:34:21] {'temperature': 23.81, 'altitude': 1.13, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': -0.017, 'x': 0.134}}
[03/Mar/2026 19:34:22] {'temperature': 23.82, 'altitude': 1.03, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': -0.016, 'x': 0.141}}
[03/Mar/2026 19:34:23] {'temperature': 23.82, 'altitude': 0.48, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': -0.012, 'x': 0.144}}
[03/Mar/2026 19:34:24] {'temperature': 23.83, 'altitude': 0.9700001, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': -0.018, 'x': 0.142}}
[03/Mar/2026 19:34:25] {'temperature': 23.85, 'altitude': 0.33, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': -0.018, 'x': 0.144}}
[03/Mar/2026 19:34:26] {'temperature': 23.85, 'altitude': 1.22, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': -0.015, 'x': 0.141}}
[03/Mar/2026 19:34:27] {'temperature': 23.86, 'altitude': 0.79, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': -0.019, 'x': 0.137}}
[03/Mar/2026 19:34:28] {'temperature': 23.88, 'altitude': 1.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': -0.006, 'x': 0.131}}
[03/Mar/2026 19:34:29] {'temperature': 23.88, 'altitude': 0.85, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': -0.026, 'x': 0.152}}
[03/Mar/2026 19:34:30] {'temperature': 23.89, 'altitude': 0.83, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': -0.014, 'x': 0.135}}
[03/Mar/2026 19:34:31] {'temperature': 23.89, 'altitude': 0.61, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': -0.024, 'x': 0.146}}
[03/Mar/2026 19:34:32] {'temperature': 23.9, 'altitude': 0.9, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': -0.015, 'x': 0.145}}
[03/Mar/2026 19:34:33] {'temperature': 23.91, 'altitude': 0.87, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.115, 'y': -0.014, 'x': 0.147}}
[03/Mar/2026 19:34:34] {'temperature': 23.92, 'altitude': 1.55, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': -0.016, 'x': 0.142}}
