[21/Dec/2025 11:33:39] {'temperature': 29.9, 'altitude': 2.51, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40508, 'acceleration': {'z': 1.079, 'y': 0.034, 'x': 0.062}}
[21/Dec/2025 11:33:41] {'temperature': 29.98, 'altitude': 1.9, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40508, 'acceleration': {'z': 1.082, 'y': 0.03, 'x': 0.057}}
[21/Dec/2025 11:33:44] {'temperature': 30.03, 'altitude': 2.03, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.085, 'y': 0.067, 'x': 0.074}}
[21/Dec/2025 11:33:44] {'temperature': 30.07, 'altitude': 1.99, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.095, 'y': 0.063, 'x': 0.079}}
[21/Dec/2025 11:33:48] {'temperature': 30.14, 'altitude': 2.17, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.094, 'y': 0.029, 'x': 0.051}}
[21/Dec/2025 11:33:51] {'temperature': 30.22, 'altitude': 2.14, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.081, 'y': 0.01, 'x': 0.042}}
[21/Dec/2025 11:33:52] {'temperature': 30.23, 'altitude': 2.05, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40507, 'acceleration': {'z': 1.094, 'y': 0.003, 'x': 0.043}}
[21/Dec/2025 11:33:56] {'temperature': 30.3, 'altitude': 1.72, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40507, 'acceleration': {'z': 1.088, 'y': 0.01, 'x': 0.047}}
[21/Dec/2025 11:34:00] {'temperature': 30.34, 'altitude': 1.66, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40507, 'acceleration': {'z': 1.084, 'y': 0.009, 'x': 0.041}}
[21/Dec/2025 11:34:04] {'temperature': 30.39, 'altitude': 1.42, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40507, 'acceleration': {'z': 1.086, 'y': 0.018, 'x': 0.042}}
[21/Dec/2025 11:34:06] {'temperature': 30.42, 'altitude': 0.89, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40507, 'acceleration': {'z': 1.085, 'y': 0.02, 'x': 0.049}}
[21/Dec/2025 11:34:08] {'temperature': 30.47, 'altitude': 0.79, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40507, 'acceleration': {'z': 1.09, 'y': 0.022, 'x': 0.048}}
[21/Dec/2025 11:44:55] {'temperature': 22.2, 'altitude': -0.71, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.02, 'x': 0.048}}
[21/Dec/2025 12:04:44] {'temperature': 22.61, 'altitude': -0.3, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.095, 'y': 0.053, 'x': 0.06800001}}
[21/Dec/2025 12:04:48] {'temperature': 22.67, 'altitude': -0.68, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.092, 'y': 0.055, 'x': 0.06}}
[21/Dec/2025 12:04:51] {'temperature': 22.73, 'altitude': 0.81, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.101, 'y': 0.056, 'x': 0.062}}
[21/Dec/2025 12:04:55] {'temperature': 22.81, 'altitude': 0.88, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.087, 'y': 0.054, 'x': 0.062}}
[21/Dec/2025 12:04:58] {'temperature': 22.9, 'altitude': 1.07, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.056, 'x': 0.065}}
[21/Dec/2025 12:05:02] {'temperature': 22.99, 'altitude': -0.26, 'voltage': 0, 'latitude': 38.83594, 'longitude': -77.40504, 'acceleration': {'z': 1.1, 'y': 0.051, 'x': 0.067}}
[21/Dec/2025 12:05:05] {'temperature': 23.08, 'altitude': 0.69, 'voltage': 0, 'latitude': 38.83594, 'longitude': -77.40504, 'acceleration': {'z': 1.092, 'y': 0.047, 'x': 0.067}}
[21/Dec/2025 12:05:08] {'temperature': 23.17, 'altitude': 0.42, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.056, 'x': 0.06599999}}
[21/Dec/2025 12:05:12] {'temperature': 23.25, 'altitude': 0.19, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.092, 'y': 0.049, 'x': 0.06800001}}
[21/Dec/2025 12:05:15] {'temperature': 23.35, 'altitude': -0.94, 'voltage': 0, 'latitude': 38.83594, 'longitude': -77.40504, 'acceleration': {'z': 1.093, 'y': 0.055, 'x': 0.06}}
[21/Dec/2025 12:05:19] {'temperature': 23.44, 'altitude': -0.72, 'voltage': 0, 'latitude': 38.83594, 'longitude': -77.40504, 'acceleration': {'z': 1.1, 'y': 0.049, 'x': 0.067}}
[21/Dec/2025 12:05:22] {'temperature': 23.54, 'altitude': -0.44, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.092, 'y': 0.05, 'x': 0.065}}
[21/Dec/2025 12:05:25] {'temperature': 23.63, 'altitude': -0.58, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.052, 'x': 0.06}}
[21/Dec/2025 12:05:29] {'temperature': 23.73, 'altitude': -1.35, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.095, 'y': 0.051, 'x': 0.06800001}}
[21/Dec/2025 12:05:32] {'temperature': 23.83, 'altitude': -0.51, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.072, 'y': 0.058, 'x': 0.06599999}}
