[11/Mar/2025 20:07:43] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:44] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:45] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:45] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:46] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:47] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:47] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:48] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:49] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:49] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:50] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:51] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:51] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:52] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:53] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:53] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:54] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:55] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:55] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:56] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:57] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
